architecture,avg_latency,min_latency,max_latency,throughput,successful,failed,total
RATS,10521.305894851685,10270.043849945068,10738.174438476562,30,30,0,30
Monolithic,302.8581698735555,11.582136154174805,351.21798515319824,30,30,0,30
