Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/request-signal-mono,4675,4675,6,95.31350295187126,1.8871000000046934,2105.735899999999,22.0,81.3588182379035,81.3588182379035,6,8,9,10,13,20,2100,2100,2100,2100,2100
,Aggregated,4675,4675,6,95.31350295187126,1.8871000000046934,2105.735899999999,22.0,81.3588182379035,81.3588182379035,6,8,9,10,13,20,2100,2100,2100,2100,2100
